date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,code_postal,nom_commune,code_departement,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-01-04,Vente,302000,11,,RUE DE LA VARENNE,94100,Saint-Maur-des-Fossés,94,12,,3,60.57,,,,,,2,3,Dépendance,,0,,,,,,2.471997,48.809629
2024-01-04,Vente,302000,11,,RUE DE LA VARENNE,94100,Saint-Maur-des-Fossés,94,12,,3,60.57,,,,,,2,2,Appartement,53,3,,,,,,2.471997,48.809629
2024-01-03,Vente,590825,33,,RUE HOCHE,94210,Saint-Maur-des-Fossés,94,,,,,,,,,,0,1,Maison,71,2,S,sols,,,329,2.519719,48.793656
2024-01-04,Vente,136500,22,,AV VERGNIAUD,94100,Saint-Maur-des-Fossés,94,154,,,,,,,,,1,3,Dépendance,,0,,,,,,2.473647,48.794205
2024-01-04,Vente,136500,22,,AV VERGNIAUD,94100,Saint-Maur-des-Fossés,94,109,25.34,134,,,,,,,2,3,Dépendance,,0,,,,,,2.473647,48.794205
2024-01-04,Vente,136500,22,,AV VERGNIAUD,94100,Saint-Maur-des-Fossés,94,109,25.34,134,,,,,,,2,2,Appartement,25,1,,,,,,2.473647,48.794205
2024-01-05,Vente,170000,66,,AV DE LA REPUBLIQUE,94100,Saint-Maur-des-Fossés,94,29,,,,,,,,,1,3,Dépendance,,0,,,,,,2.485661,48.799344
2024-01-05,Vente,170000,66,,AV DE LA REPUBLIQUE,94100,Saint-Maur-des-Fossés,94,22,32.52,,,,,,,,1,2,Appartement,33,1,,,,,,2.485661,48.799344
2024-01-04,Vente en l'état futur d'achèvement,226395,21,B,AV DE L ALMA,94210,Saint-Maur-des-Fossés,94,1005,,,,,,,,,1,,,,,,,,,,2.49578,48.786724
2024-01-04,Vente en l'état futur d'achèvement,226395,21,B,AV DE L ALMA,94210,Saint-Maur-des-Fossés,94,1133,,,,,,,,,1,,,,,,,,,,2.49578,48.786724
2024-01-08,Vente,465000,5,,RUE DE BRETEUIL,94100,Saint-Maur-des-Fossés,94,140,86.55,166,,,,,,,2,2,Appartement,87,4,,,,,,2.476329,48.804327
2024-01-08,Vente,465000,25,,RUE ANDRE BOLLIER,94100,Saint-Maur-des-Fossés,94,267,,,,,,,,,1,3,Dépendance,,0,,,,,,2.476329,48.804327
2024-01-08,Vente,465000,5,,RUE DE BRETEUIL,94100,Saint-Maur-des-Fossés,94,140,86.55,166,,,,,,,2,3,Dépendance,,0,,,,,,2.476329,48.804327
2024-01-04,Vente,380384,57,,AV GABRIEL PERI,94100,Saint-Maur-des-Fossés,94,116,,131,,,,,,,2,3,Dépendance,,0,,,,,,2.488262,48.810986
