date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,code_postal,nom_commune,code_departement,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2021-01-04,Vente,203700,30,,AV JEAN JAURES,94100,Saint-Maur-des-Fossés,94,35,42.62,45,,,,,,,,2,2,Appartement,40,2,,,,,,2.478603,48.791519
2021-01-06,Vente,23810,69,,RUE GARIBALDI,94100,Saint-Maur-des-Fossés,94,125,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.482007,48.797485
2021-01-06,Vente,670000,136,,RUE LEDRU ROLLIN,94100,Saint-Maur-des-Fossés,94,,,,,,,,,,,0,1,Maison,64,4,S,sols,,,328,2.489638,48.790009
2021-01-05,Vente,275000,15,,RUE LOUIS BRAILLE,94100,Saint-Maur-des-Fossés,94,5,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.478553,48.802301
2021-01-05,Vente,275000,15,,RUE LOUIS BRAILLE,94100,Saint-Maur-des-Fossés,94,37,,72,45.69,,,,,,,2,2,Appartement,46,2,,,,,,2.478553,48.802301
2021-01-07,Vente,565000,2,,PROM DES ANGLAIS,94210,Saint-Maur-des-Fossés,94,27,,6,69.3,,,,,,,2,2,Appartement,69,3,,,,,,2.520428,48.790779
2021-01-07,Vente,565000,2,,PROM DES ANGLAIS,94210,Saint-Maur-des-Fossés,94,29,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.520428,48.790779
2021-01-08,Vente,353500,62,,AV FOCH,94100,Saint-Maur-des-Fossés,94,27,61.95,54,,,,,,,,2,2,Appartement,60,3,,,,,,2.493276,48.801483
2021-01-08,Vente,353500,62,,AV FOCH,94100,Saint-Maur-des-Fossés,94,62,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.493276,48.801483
2021-01-08,Vente,755000,25,,AV SAINT LOUIS,94210,Saint-Maur-des-Fossés,94,235,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.50746,48.788562
2021-01-08,Vente,755000,25,,AV SAINT LOUIS,94210,Saint-Maur-des-Fossés,94,234,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.50746,48.788562
2021-01-08,Vente,755000,25,,AV SAINT LOUIS,94210,Saint-Maur-des-Fossés,94,152,,268,102.06,,,,,,,2,2,Appartement,90,4,,,,,,2.50746,48.788562
2021-01-11,Vente,470900,61,,RUE GARIBALDI,94100,Saint-Maur-des-Fossés,94,21,51.28,,,,,,,,,1,1,Maison,50,2,,,,,,2.481357,48.797644
2021-01-07,Vente,830000,4,,IMP ELIAS HOWE,94100,Saint-Maur-des-Fossés,94,,,,,,,,,,,0,1,Maison,120,5,S,sols,,,291,2.484205,48.792702
2021-01-07,Vente,830000,4,,IMP ELIAS HOWE,94100,Saint-Maur-des-Fossés,94,,,,,,,,,,,0,,,,,S,sols,,,64,2.484035,48.792769
2021-01-08,Vente,120620,42,,AV DE L ALMA,94210,Saint-Maur-des-Fossés,94,3,15.15,,,,,,,,,1,2,Appartement,13,1,,,,,,2.494988,48.786142
2021-01-08,Vente,771000,52,,AV DU MESNIL,94210,Saint-Maur-des-Fossés,94,,,,,,,,,,,0,1,Maison,216,9,S,sols,,,260,2.516777,48.7978
2021-01-08,Vente en l'état futur d'achèvement,420000,71,,BD DE CRETEIL,94100,Saint-Maur-des-Fossés,94,12,,,,,,,,,,1,2,Appartement,60,3,,,,,,2.482586,48.798498
2021-01-08,Vente en l'état futur d'achèvement,420000,71,,BD DE CRETEIL,94100,Saint-Maur-des-Fossés,94,53,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.482586,48.798498
2021-01-08,Vente,800000,188,,BD DE CRETEIL,94100,Saint-Maur-des-Fossés,94,,,,,,,,,,,0,,,,,S,sols,,,617,2.49774,48.797626
2021-01-06,Vente,1450000,9,,AV DU MESNIL,94210,Saint-Maur-des-Fossés,94,455,,456,,457,,458,,459,,7,4,Local industriel. commercial ou assimilé,589,0,,,,,,2.514469,48.796356
2021-01-11,Vente,160000,14,,AV GAMBETTA,94100,Saint-Maur-des-Fossés,94,57,,9,20.35,,,,,,,2,2,Appartement,19,1,,,,,,2.486814,48.801504
2021-01-11,Vente,160000,9,,AV GAMBETTA,94100,Saint-Maur-des-Fossés,94,113,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.486814,48.801504
2021-01-11,Vente,2015800,38,B,AV MARIE LOUISE,94210,Saint-Maur-des-Fossés,94,,,,,,,,,,,0,1,Maison,274,4,AG,terrains d'agrément,,,300,2.520105,48.794136
2021-01-11,Vente,2015800,38,B,AV MARIE LOUISE,94210,Saint-Maur-des-Fossés,94,,,,,,,,,,,0,1,Maison,274,4,S,sols,,,500,2.520105,48.794136
