date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,code_postal,nom_commune,code_departement,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2019-07-02,Vente,118650,15,,AV DU BEL AIR,94100,Saint-Maur-des-Fossés,94,16,30.13,,,,,,,,,1,2,Appartement,30,2,,,,,,2.497719,48.806106
2019-07-01,Vente,575000,24,,AV DE VERDUN,94210,Saint-Maur-des-Fossés,94,,,,,,,,,,,0,1,Maison,93,5,S,sols,,,230,2.513734,48.801821
2019-07-02,Vente,369000,20,,AV DU MESNIL,94210,Saint-Maur-des-Fossés,94,3,63.2,42,,,,,,,,2,2,Appartement,65,3,,,,,,2.514868,48.795102
2019-07-02,Vente,369000,20,,AV DU MESNIL,94210,Saint-Maur-des-Fossés,94,28,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.514868,48.795102
2019-07-01,Vente,192000,5,A,RUE DES ILES,94100,Saint-Maur-des-Fossés,94,24,,33,46.15,,,,,,,2,2,Appartement,47,2,,,,,,2.463164,48.809347
2019-07-02,Vente,320000,189,,BD DE CRETEIL,94100,Saint-Maur-des-Fossés,94,10,,2,74,,,,,,,2,2,Appartement,80,4,,,,,,2.501218,48.798073
2019-07-01,Vente,213500,33,B,RUE DU PONT DE CRETEIL,94100,Saint-Maur-des-Fossés,94,12,,,,,,,,,,1,2,Appartement,17,1,,,,,,2.471737,48.807507
2019-07-01,Vente,213500,33,B,RUE DU PONT DE CRETEIL,94100,Saint-Maur-des-Fossés,94,5,61.21,,,,,,,,,1,2,Appartement,63,3,,,,,,2.471737,48.807507
2019-07-02,Vente,142000,32,,AV EMILE ZOLA,94100,Saint-Maur-des-Fossés,94,154,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.483737,48.801897
2019-07-02,Vente,142000,32,,AV EMILE ZOLA,94100,Saint-Maur-des-Fossés,94,147,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.483737,48.801897
2019-07-02,Vente,142000,32,,AV EMILE ZOLA,94100,Saint-Maur-des-Fossés,94,155,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.483737,48.801897
2019-07-02,Vente,142000,32,,AV EMILE ZOLA,94100,Saint-Maur-des-Fossés,94,148,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.483737,48.801897
2019-07-02,Vente,142000,32,,AV EMILE ZOLA,94100,Saint-Maur-des-Fossés,94,163,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.483737,48.801897
2019-07-02,Vente,142000,32,,AV EMILE ZOLA,94100,Saint-Maur-des-Fossés,94,160,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.483737,48.801897
2019-07-02,Vente,126500,4,,AV DES ARTS,94100,Saint-Maur-des-Fossés,94,5,18.23,,,,,,,,,1,2,Appartement,16,1,,,,,,2.48795,48.804594
2019-07-01,Vente,517500,7,,RUE DE LA CONCORDE,94210,Saint-Maur-des-Fossés,94,,,,,,,,,,,0,1,Maison,75,3,S,sols,,,141,2.501464,48.79075
2019-07-01,Vente en l'état futur d'achèvement,418000,21,,RUE ANDRE BOLLIER,94100,Saint-Maur-des-Fossés,94,53,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.475261,48.803952
2019-07-01,Vente en l'état futur d'achèvement,418000,21,,RUE ANDRE BOLLIER,94100,Saint-Maur-des-Fossés,94,24,,,,,,,,,,1,2,Appartement,56,3,,,,,,2.475261,48.803952
2019-07-03,Vente,355000,32,,AV DE CONDE,94100,Saint-Maur-des-Fossés,94,154,,4,,,,,,,,2,2,Appartement,78,3,,,,,,2.477333,48.810951
2019-07-02,Vente en l'état futur d'achèvement,425000,21,,RUE ANDRE BOLLIER,94100,Saint-Maur-des-Fossés,94,16,,,,,,,,,,1,2,Appartement,59,3,,,,,,2.475261,48.803952
2019-07-02,Vente en l'état futur d'achèvement,425000,21,,RUE ANDRE BOLLIER,94100,Saint-Maur-des-Fossés,94,60,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.475261,48.803952
2019-07-03,Vente,171000,7,,RUE DU CHEMIN VERT,94100,Saint-Maur-des-Fossés,94,24,,9,35.83,,,,,,,2,2,Appartement,35,1,,,,,,2.474071,48.801237
2019-07-03,Vente,171000,7,,RUE DU CHEMIN VERT,94100,Saint-Maur-des-Fossés,94,84,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.474071,48.801237
2019-07-01,Vente,527120,31,,RUE SOLFERINO,94100,Saint-Maur-des-Fossés,94,48,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.493959,48.798285
2019-07-01,Vente,527120,31,,RUE SOLFERINO,94100,Saint-Maur-des-Fossés,94,28,92.26,30,,31,,40,,,,4,2,Appartement,91,5,,,,,,2.493959,48.798285
2019-07-01,Vente,527120,31,,RUE SOLFERINO,94100,Saint-Maur-des-Fossés,94,56,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.493959,48.798285
2019-07-02,Vente,655000,22,,RUE SAINTE GENEVIEVE,94210,Saint-Maur-des-Fossés,94,,,,,,,,,,,0,1,Maison,85,5,S,sols,,,338,2.517103,48.802492
