id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,section_prefixe
2022-1591021,2022-10-17,1,Vente,613147.00,27,,AV FOCH,3550,94100,94068,Saint-Maur-des-Fossés,94,,,940680000Z0034,,,29,,9,106.23,,,,,,,2,2,Appartement,106.00,4,,,,,,2.4897620,48.8034200,0000Z
2022-1591032,2022-10-12,1,Vente,445000.00,3,,AV MEDICIS,6225,94100,94068,Saint-Maur-des-Fossés,94,,,94068000AI0106,,,17,71.69,9,,,,,,,,2,3,Dépendance,,0,,,,,,2.4983730,48.8053700,000AI
2022-1591032,2022-10-12,1,Vente,445000.00,3,,AV MEDICIS,6225,94100,94068,Saint-Maur-des-Fossés,94,,,94068000AI0106,,,29,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.4983730,48.8053700,000AI
2022-1591032,2022-10-12,1,Vente,445000.00,3,,AV MEDICIS,6225,94100,94068,Saint-Maur-des-Fossés,94,,,94068000AI0106,,,17,71.69,9,,,,,,,,2,2,Appartement,71.00,3,,,,,,2.4983730,48.8053700,000AI
2022-1591043,2022-09-21,1,Vente,250000.00,3,,RUE DU PETIT BEAUBOURG,7182,94100,94068,Saint-Maur-des-Fossés,94,,,940680000F0052,,,427,58.12,450,,,,,,,,2,2,Appartement,57.00,3,,,,,,2.4736180,48.8136360,0000F
2022-1591043,2022-09-21,1,Vente,250000.00,3,,RUE DU PETIT BEAUBOURG,7182,94100,94068,Saint-Maur-des-Fossés,94,,,940680000F0052,,,427,58.12,450,,,,,,,,2,3,Dépendance,,0,,,,,,2.4736180,48.8136360,0000F
2022-1591043,2022-09-21,1,Vente,250000.00,8,,RUE DU PETIT BEAUBOURG,7182,94100,94068,Saint-Maur-des-Fossés,94,,,940680000F0052,,,669,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.4736180,48.8136360,0000F
2022-1591061,2022-10-11,1,Vente,25000.00,8,,RUE DU PETIT BEAUBOURG,7182,94100,94068,Saint-Maur-des-Fossés,94,,,940680000F0052,,,701,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.4736180,48.8136360,0000F
2022-1591066,2022-09-22,1,Vente,320060.00,51,,AV DE LA LIBERATION,5237,94100,94068,Saint-Maur-des-Fossés,94,,,940680000I0174,,,136,74.43,21,,,,,,,,2,3,Dépendance,,0,,,,,,2.4773330,48.8109510,0000I
2022-1591066,2022-09-22,1,Vente,320060.00,51,,AV DE LA LIBERATION,5237,94100,94068,Saint-Maur-des-Fossés,94,,,940680000I0174,,,136,74.43,21,,,,,,,,2,2,Appartement,57.00,2,,,,,,2.4773330,48.8109510,0000I
2022-1591076,2022-10-12,1,Vente,376550.00,8,,AV DU BOIS GUIMIER,0725,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CR0169,,,45,61.79,61,,,,,,,,2,3,Dépendance,,0,,,,,,2.4791530,48.8040260,000CR
2022-1591076,2022-10-12,1,Vente,376550.00,8,,AV DU BOIS GUIMIER,0725,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CR0169,,,45,61.79,61,,,,,,,,2,2,Appartement,67.00,2,,,,,,2.4791530,48.8040260,000CR
2022-1591076,2022-10-12,1,Vente,376550.00,8,,AV DU BOIS GUIMIER,0725,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CR0169,,,65,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.4791530,48.8040260,000CR
2022-1591092,2022-09-23,1,Vente,490000.00,12,,RUE DUSSAULT,2595,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CS0138,,,34,81.55,,,,,,,,,1,2,Appartement,83.00,4,,,,,,2.4776120,48.8011380,000CS
2022-1591092,2022-09-23,1,Vente,490000.00,12,,RUE DUSSAULT,2595,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CS0138,,,34,81.55,,,,,,,,,1,3,Dépendance,,0,,,,,,2.4776120,48.8011380,000CS
2022-1591092,2022-09-23,1,Vente,490000.00,12,,RUE DUSSAULT,2595,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CS0138,,,3,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.4776120,48.8011380,000CS
2022-1591100,2022-10-17,1,Vente,1250000.00,41,,AV FUSILLES DE CHATEAUBRIANT,3595,94100,94068,Saint-Maur-des-Fossés,94,,,94068000AM0105,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,423.00,2.5048780,48.8052640,000AM
2022-1591100,2022-10-17,1,Vente,1250000.00,41,,AV FUSILLES DE CHATEAUBRIANT,3595,94100,94068,Saint-Maur-des-Fossés,94,,,94068000AM0105,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,423.00,2.5048780,48.8052640,000AM
2022-1591100,2022-10-17,1,Vente,1250000.00,41,,AV FUSILLES DE CHATEAUBRIANT,3595,94100,94068,Saint-Maur-des-Fossés,94,,,94068000AM0105,,,,,,,,,,,,,0,1,Maison,164.00,6,S,sols,,,423.00,2.5048780,48.8052640,000AM
2022-1591100,2022-10-17,1,Vente,1250000.00,41,,AV FUSILLES DE CHATEAUBRIANT,3595,94100,94068,Saint-Maur-des-Fossés,94,,,94068000AM0105,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,423.00,2.5048780,48.8052640,000AM
2022-1591109,2022-10-07,1,Vente,300000.00,37,,QUAI DE LA PIE,7213,94100,94068,Saint-Maur-des-Fossés,94,,,94068000DJ0035,,,1,108.45,,,,,,,,,1,4,Local industriel. commercial ou assimilé,110.00,0,,,,,,2.4740590,48.7896740,000DJ
2022-1591122,2022-09-16,1,Vente,1200000.00,22,B,AV JEAN JAURES,4738,94100,94068,Saint-Maur-des-Fossés,94,,,94068000DI0047,,,,,,,,,,,,,0,1,Maison,169.00,5,S,sols,,,616.00,2.4781480,48.7922960,000DI
2022-1591122,2022-09-16,1,Vente,1200000.00,22,B,AV JEAN JAURES,4738,94100,94068,Saint-Maur-des-Fossés,94,,,94068000DI0047,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,616.00,2.4781480,48.7922960,000DI
2022-1591186,2022-10-07,1,Vente,540000.00,13,,AV ANDREE,0120,94100,94068,Saint-Maur-des-Fossés,94,,,940680000H0078,,,,,,,,,,,,,0,1,Maison,82.00,4,S,sols,,,257.00,2.4811930,48.8121930,0000H
2022-1591186,2022-10-07,1,Vente,540000.00,13,,AV ANDREE,0120,94100,94068,Saint-Maur-des-Fossés,94,,,940680000H0078,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,257.00,2.4811930,48.8121930,0000H
2022-1591221,2022-10-07,1,Vente,316000.00,104,,AV FOCH,3550,94100,94068,Saint-Maur-des-Fossés,94,,,94068000BY0191,,,3,54.50,,,,,,,,,1,2,Appartement,55.00,3,,,,,,2.4980790,48.7996010,000BY
2022-1591221,2022-10-07,1,Vente,316000.00,104,,AV FOCH,3550,94100,94068,Saint-Maur-des-Fossés,94,,,94068000BY0191,,,3,54.50,,,,,,,,,1,3,Dépendance,,0,,,,,,2.4980790,48.7996010,000BY
2022-1591277,2022-10-06,1,Vente,380000.00,6,B,AV LITTRE,5265,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CE0101,,,90,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.4934080,48.8008040,000CE
2022-1591277,2022-10-06,1,Vente,380000.00,6,B,AV LITTRE,5265,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CE0101,,,11,66.24,26,,,,,,,,2,3,Dépendance,,0,,,,,,2.4934080,48.8008040,000CE
2022-1591277,2022-10-06,1,Vente,380000.00,6,B,AV LITTRE,5265,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CE0101,,,11,66.24,26,,,,,,,,2,2,Appartement,67.00,3,,,,,,2.4934080,48.8008040,000CE
2022-1591277,2022-10-06,1,Vente,380000.00,6,B,AV LITTRE,5265,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CE0101,,,11,66.24,26,,,,,,,,2,3,Dépendance,,0,,,,,,2.4934080,48.8008040,000CE
2022-1591287,2022-10-12,1,Vente,1362910.00,71,B,AV DU BOIS GUIMIER,0725,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CM0168,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,297.00,2.4846920,48.7995110,000CM
2022-1591287,2022-10-12,1,Vente,1362910.00,71,B,AV DU BOIS GUIMIER,0725,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CM0168,,,,,,,,,,,,,0,1,Maison,190.00,4,S,sols,,,297.00,2.4846920,48.7995110,000CM
2022-1591333,2022-10-20,1,Vente,1088500.00,33,,RUE LEDRU ROLLIN,5211,94100,94068,Saint-Maur-des-Fossés,94,,,94068000DG0117,,,,,,,,,,,,,0,1,Maison,137.00,4,S,sols,,,475.00,2.4820610,48.7955420,000DG
2022-1591333,2022-10-20,1,Vente,1088500.00,33,,RUE LEDRU ROLLIN,5211,94100,94068,Saint-Maur-des-Fossés,94,,,94068000DG0117,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,475.00,2.4820610,48.7955420,000DG
2022-1591348,2022-10-12,1,Vente,205000.00,25,,RUE DE LA VARENNE,9614,94100,94068,Saint-Maur-des-Fossés,94,,,940680000J0054,,,110,,84,41.30,,,,,,,2,3,Dépendance,,0,,,,,,2.4734870,48.8086850,0000J
2022-1591348,2022-10-12,1,Vente,205000.00,25,,RUE DE LA VARENNE,9614,94100,94068,Saint-Maur-des-Fossés,94,,,940680000J0054,,,110,,84,41.30,,,,,,,2,2,Appartement,40.00,2,,,,,,2.4734870,48.8086850,0000J
2022-1591393,2022-10-20,1,Vente,385000.00,185,,BD DE CRETEIL,1680,94100,94068,Saint-Maur-des-Fossés,94,,,94068000BU0061,,,120,,36,,,,,,,,2,3,Dépendance,,0,,,,,,2.5005980,48.7981970,000BU
